stemming;Sentimen
metaverse chief ira sudah almarhum facebook gagal total mimpi zuckerberg kandas begitu;Negatif
indonesia ganjar sat set indonesia maju;Positif
orang hak didik layak moga program didik gratis ganjar manfaat;Positif
moga silaturahmi erat hubung daerah;Netral
mohon metavers singkat mas;Netral
ykin ganjar mahfud mnang;Positif
ganjar pranowo inspirasi keluarga miskin sukses;Negatif
program keluarga miskin sarjana bukti nyata komitmen ganjar mahfud didik inklusif moga inisiatif sukses bawa ubah positif;Positif
terimakasih masyarakat sambut ganjar;Netral
ayo dukung ganjar mahfud indonesia maju;Netral
alhamdulillah senang ganjar bukti orang banget;Positif
sungguh berkah ikhtiar cipta peluang didik rata moga program dampak positif inspirasi langkah;Positif
orang jujur mana terima support ganjar mahfud;Positif
rawan pasang calon presiden wakil presiden ganjar pranowomahfud md duga korban aniaya oknum tni kabupaten boyolali jawa;Negatif
orang jogja saja senang senang orang malahh riwehh aneh pakk;Positif
gilir ganjar bela gilir gibran kemarin salah;Negatif
masuk kartu sakti langsung integrasi koneksi langsung alat bayar perban maling langsung tahu;Positif
alhamdulillah percaya sri sultan orang baik enggak sembarang bisa terima orang kecuali hati masyarakat;Positif
ganjar pranowo mahfud md langkahlangkah harap atas masalah ekonomi digital kompleks;Negatif
wah ganjar sambut sri sultan;Netral
sederhana ganjar inap rumah warga beliau nginap hotel pilih singgah inap rumah warga sukses ganjar;Positif
benar itu rakyat jogja enggak berat itu;Positif
moga tanda dukung diy thd paslon;Netral
program keluarga miskin sarjana langkah nyata cipta akses didik adil rata sukses ganjar;Positif
maaf paksi anak senang senang main medsos;Negatif
temu jadi ganjar semangat;Netral
jogja istimewa sri sultan istimewa dukung ganjar yang istimewa;Positif
bismillah ganjar inspirasi;Netral
kayak begini adem dukung salah paslon enggak jelek paslon yang bagus paslon apresiasi keren dok;Positif
rakyat banget ganjar masya allah stay humble;Netral
doa baik sukses program keluarga miskin sarjana moga generasi muda bantu raih impi program;Positif
wujud indonesia maju ganjar mahfud ayo;Netral
butuh pimpin kayak ganjar pranowo mahfud md komitmen tumbuh ekonomi;Positif
program keluarga miskin sarjana tonggak ubah sosial daya didik sukses ganjar;Positif
ganjar pranowo panutan orang muda indonesia;Positif
bellamy dukung tolol salah jokowi hadehh manusia tolol banget kamu karang;Negatif
dukung komitmen ganjar maju sejahtera rakyat;Netral
islahbahrawi teddgus ganjar pranowo narasi bangun ganjar terus jokowi sejati harap tarik jokowi dalam pusar hebat mahfud;Positif
utami raharjo tetap semangat ganjar;Positif
moga program keluarga sejahtera;Netral
hujannan masyarakat semangat;Positif
wb tni polri;Netral
ganjar mahfud didik indonesia maju;Positif
ganjar pranowo mahfud md harap sinergi cipta regulasi dukung kembang ekonomi digital sehat;Positif
sambut yang warga boyolali;Positif
ganjar pranowo pimpin pandang bangsa;Netral
salut program ganjar yang manfaat masyarakat;Netral
program ganjar mahfud sangat dukung penting masyarakat luas semua;Positif
didik harap ekonomi keluarga tingkat;Netral
ganjar pranowo hebat mahfud;Positif
ganjar mahfud calon baik;Positif
mosok aki anqk haram konstitusi mikat apa selesai makan gratis;Positif
moga program keluarga miskin sarjana solusi rata akses didik indonesia terima kasih dedikasi;Negatif
fix aku dukung ganjar pimpin yang ayom banget;Positif
moga temu hasil sepakat dukung ganjar mahfud;Netral
suka ganjar yang dukung mana;Netral
ndasmu etik;Positif
keren banget ganjar pranowo mahfud md janji tumbuh ekonomi benar benar semangat;Positif
kikidaliyo ganjar pranowo deh tegas ganjar rawat indah pancasila pondasi kuat bangsa hebat mahfud;Positif
bacot kamu yen kamu turun tengah jalan tanda bapak kamu buruk enggak mimpin lah sekarang kamu ngebacot prestasi mu;Negatif
senang lihat ganjar selalu sepenuh hati dengar inspirasi rakyat langsung;Positif
sosok pimpin yang rakyat terjun lngsng baur rakyat sehat ganjaraq bocah pakgass poll;Positif
optimis menang ganjar mahfud karena program yang dukung dia maju bangsa;Positif
bumijo dennisauya ganjar pranowo iya alam ganjar viral hebat mahfud;Positif
obrol seru banget warga sampai tidur ruang tamu mashaallah sederhana sikap ganjar pimpin panutan memang;Positif
warga boyolali pancen ramah poll peduli hujan sambut capres baik ganjar;Positif
alhamdulillah ganjar pranowo capres yang hasil sowan hadap ngarso dalem sri sultan hamengku buwono kali;Netral
mah the best ganjar bersilahturahmi inap rumah warga;Positif
utami raharjo hati mbak;Netral
insyaallah ganjar mahfud indonesia dalm dunia didik;Positif
capres ganjar pranowo dialog gen saja milenial bidang digital teknologi;Netral
ganjar pranowo mahfud md bukti bijak cakup lindung masyarakat praktik pinjol sehat;Positif
bellamy yang pakai motor brong markas tni;Netral
i biasa nginap rumah warga;Negatif
up orang tech saya dukung ayo timses mainkaan titip om dapat metaverse sudah;Netral
ganjar ramah warga sambut ramah;Positif
wiyana bahrawi rakyat ciut giring katakatamu ganjar mahfud;Netral
ganjar mahfud calon presiden indonesia;Netral
saya tonton;Netral
alhamdulillah ganjar pranowo sempat sowan ngarso dalem sri sultan hamengku buwono kali moga kunjung bawa berkah;Netral
atikoh dialog umkm bangkit perempuan hebat masyarakat tegal;Positif
pura rakyat keluarga beli barang branded tahun;Netral
andreassolusi ganjar pranowo theladyjoker diskusi ganjar topik deh hebat mahfud;Positif
ganjar pranowo mahfud md terima kasih dedikasi lindung rakyat praktik pinjol rugi;Netral
butuh pimpin kayak ganjar pranowo mahfud md bawa indonesia arah tumbuh ekonomi;Positif
pimpin harap rakyat ganjar mahfud;Netral
dumdum putar hongkong gama menang presiden ri putra pribumi asli indonesia ganjar pranowo mahfud md;Positif
kagum sederhana ganjar;Netral
akamebsc ganjar pranowo beliau almarhum tauladan nilainilai hidup yang positif hebat mahfud;Positif
amin moga perata didik indonesia jalan lancar bantu masyarakat;Positif
masyaallah segitu besar antusias masyarakat ganjar;Positif
kikidaliyo ganjar pranowo mari lestari agam satu terimakasih ganjar aja motivasi ayo bukti cinta tanah air hebat mahfud;Positif
moga satu program ganjar mahfud realisasi;Netral
ganjar pimpin rakyat;Netral
kunjung pasar kebon agung boyolali dagang sambut hangat antusias hadir ganjar;Positif
ganjar sablon kaus tulis sat set gp mmd;Netral
jadi orang miskin terima bantu iur pbi jamin perintah ganjar pranowo acara luncur ktp sakti warga boyolali guna kartu gratis milik potensi proses;Positif
ri id polri tni politik kait duit afau tara duit yang atur sisihulu institusi parpol sisihilir individual cari nafkah;Netral
ganjar terima kasih tagar cipta ikat emosional erat warga desa senting moga sama bawa berkah;Netral
program program ganjar pihak rakyat;Netral
utami raharjo mantap ganjar balas komen;Positif
warga boyolali semangat sambut datang ganjar hujan pimpin rakyat peduli orangorang gass pol ganjar presiden;Positif
semangat moga program wujud ganjar mahfud;Netral
masyarakat antusias sambut ganjar peduli hujan;Netral
bellamy pecat gilir perang wedi;Netral
obrol malam libat topik bijak kisahkisah hidup suasana akrab inspiratif;Positif
harap banget program jalan lancar realisasi skala nasional bonus demografi butuh investasi didik;Positif
kota jogjakarta daerah istimewa;Positif
yang belum pakai tiktok be like iya goda install tiktok;Netral
abai oceh nyiyiran negatif dukung belah iri yang buat rakyat;Negatif
ramah banget warga senang;Positif
moga cepat program keluarga miskin sarjana terap nasional sumber dana persen anggar dapat belanja negara apbn;Positif
ganjar pranowo pahlawan tanda jasa hasil;Netral
terusmakasih sabar boleh ganjar nginep;Netral
keren ganjar pranowo yang usaha sabar rakyat doa indonesia jadi presiden indonesia tahun;Positif
ganjar mahfud bismillah moga capai tuju;Netral
semangat ganjar moga kampanye lancar sampai rakyat percaya bapak pimpin indonesia;Positif
indonesia maju sejahtera ganjar mahfud;Netral
capres ganjar pranowo tinggal kelam bangun cerah korupsi;Positif
utami raharjo ganjar baik;Netral
seru banget malam rumah sabar desa senting keren asa kayak rumah salut semangat warga desa tahan hujanhujanan;Positif
moga laksana ya;Netral
liharokatil hurriyah liman katsuro athoouh;Positif
guyur hujan warga desa senting boyolali semangat tunggu hadir ganjar;Netral
aneh apa ganjar tap rumah warga biasa apa memang capres rakyat;Negatif
ganjar sosok baik;Positif
gasssspoool dukung mnang mnang;Netral
alhamdulillah senang smbutan ganjar;Positif
pimpin saudara ahaha;Netral
dah capres keren inap rumah rumah warga pilih pilih;Positif
inap rumah warga tidur ruang tamu ganjar pimpin hidup sederhana;Netral
ganjar pranowo amin moga indonesia maju ganjar pranowo hebat mahfud;Positif
kalau kampaye mah tidur situ jadi gubernur jateng nginep rumah warga om;Netral
pimpin yang inap dari rumah warga yang bisa enggak semua pimpin bisa laku;Netral
moga ganjar pranowo mahfud md jaga integritas pimpin teladan pimpin;Netral
benar benar rakyat banget enggak malu tidur inap tempat warga senang sambut hadir ganjar;Positif
ganjar pranowo rakyat cahaya harap;Positif
alhamdulillah moga ganjar;Netral
ganjar pranowo sosok wakil suarasuara lupa;Netral
antusias warga boyolali patut acung jempol iki hujan hujan semangat;Netral
ganjar dukung kriteria pimpin beliau;Positif
terimakasih hadir boyolali warga senang hadir;Positif
dukung program wujud program keluarga miskin sarjana salah upaya entas miskin tanah air;Negatif
saya dukung sempat temu saya salam foto tapi maaf ketemu bocil belum layak respect dari saya saya respect bocil si;Negatif
obrol sampai inap best banget ahahaa;Positif
mana ganjar dukung;Netral
butuh pimpin kayak ganjar pranowo mahfud md benar benar perhati tumbuh ekonomi suparto;Positif
warga sambut hadir ganjar desa senting kec sambi boyolali kenang enggak lupa;Netral
yang menggroyok dukung paslon yang tangan juga penuh darah;Positif
kampanye kampanye yang keren masyarakat;Positif
ganjar yang bismillah mnangamin;Netral
warga yang bantu perintah moga pimpin ganjar mahfud bantu bisa sasar terima rakyat yang butuh;Positif
pimpin rakyat baur rakyat;Netral
ketemu gp bawa curhat ahaha;Netral
lagi kemarin smk jateng memang keluarga yang yang data afirmasi data tapi semenjak pakai ganjar jateng suruh daftar lurah;Positif
masyaallah pimpin yang rakyat erti rakkyatnya;Negatif
yaaaah tektokkan ternak;Netral
utami raharjo kii bagaimana;Netral
live tiktok ikut bicara ganjar saing anies tapi gemblong emosi lihat komen singgung banting henpon out tonton tiktok takut culik;Negatif
zyitsme alam ganjar pranowo menang;Positif
ana wb tni polri wajar ndasmu;Positif
ganjar gaspol semangat maju;Netral
seru banget ngonbrol diskusi bareng ganjar;Positif
capres jantan takut bully tolak ancam pembully ajal;Negatif
antusias masyarakat boyolali kereb banget hujan semangat;Positif
ganjar calon pimpin sanagt ramah;Positif
utami raharjo ganjar moga kuat;Positif
sat set ganjar warga sulit langsung pandu bangga banget pimpin tanggap warga keren ganjar;Positif
saran debat gaya kayak moderator;Netral
warga boyolali kasih suara ganjar;Netral
capres ganjar pranowo pimpin pimpin hati tindak nyata lawan korupsi;Positif
memamg ganjar humble banget;Negatif
semangat ganjar sehat sehat lanjut kampanye;Positif
bimbim slank ganjar pranowo next president;Netral
ganjar keras tulus cerdas bergotongroyong hadir bijak prorakyat;Positif
sukses ganjar senang lihat kebersamaanya;Positif
ganjar pranowo simbol peduli rakyat indonesia;Netral
senang banget ganjar warga;Positif
ganjar sederhana;Netral
prihatiutami ganjar pranowo benar mah ganteng alam ganjar hebat mahfud;Positif
ganjar pranowo diri suara;Netral
mantap lanjut program keluarga miskin sarjana indonesia bebas anak yang putus sekolah keluarga sejahtera miskin;Negatif
ganjar figur baik pimpin indonesia bukti jaga toleransi lestari kebhinekaan pelihara rukun;Positif
terima kasih kunjung boyolali moga silaturahmu senantiasa jaga;Netral
bellamy joget fenomena yang;Netral
ganjar sosok baik yang rakyat;Positif
dukung menang;Positif
negara berbhineka butuh figur pimpin nasional ganjar pranowo;Netral
ganjar memang enggak luoa rakyat rakyat nyaman;Positif
repost capres usung partai perindo ganjar pranowo;Netral
alhamdulillah capres terima;Netral
juang sudah cek akun twitter resmi pdip;Netral
ganjar pranowo pimpin layak dukung hebat mahfud;Positif
ganjar pranowo launching kaos rakyat rumah produksi sablon jalan adi sucipto colomadu karanganyar sabtu penuh ramai warga boyolali rela desa temu langsung ganjar acara luncur kaos rakyat;Positif
ganjar sosok pimpin nasionalisreligius ragu bela pancasila jaga kebhinekaan;Netral
utami raharjo ganjar yang tanggap adem sehat ganjar;Positif
nama kampa wajar;Positif
terima kasih sabar tumpang calon pimpin;Netral
ganjar pranowo pilih lanjut program bangun nasional;Netral
utami raharjo alaahh mbak enggak ya tim prabowo juga suka ngejelekin ganjar mlhn timny prabowo juga ngejelekin tim ganjar;Netral
mantap banget memang nih calon pimpin;Positif
ndasmu terima tim sepak bola israel legitimasi negara ilegal israel olahraga raga alat politik;Negatif
utami raharjo pokok sehat ganjar tanggap adem;Positif
bagus untung enggak matikelakuan anjeng pdip kalo kampanye kalo enggak arogan merusakpantas habis;Positif
mneaning ganjar pranowo rosiannahi harmonis ganjar alam hebat mahfud;Positif
bangga banget indonesia pimpin yang kenal lelah juang hak rakyat sehat sehat ganjar sri sultan hamengkubuwono kali;Positif
mpu juang tetap kokoh lawan sueharto lawan tum cap karbit cawapres cap maka;Positif
ras sultan;Netral
orang gila disenyumin semangat wes;Negatif
terus niat ganjar maju indonesia tokoh tokoh;Netral
sabar sambut program program bawa senyum ceria rakyat capai harap citacita sarjana;Positif
capres ganjar pranowo ubah nyata perintah bersih wujud;Netral
ya tanggal februari ojo lali nyumbang duit sing duwe omah;Positif
senang ganjar temu langsung sri sultan hamengkubuwono kali silaturahmi pimpin;Positif
ganjar gemar blusukan wilayah kenal rakyat paham butuh rakyat;Netral
sulit banget sadar tim sukses simpatisan saran murah riah banding konser kampanye;Negatif
sri sultan pimpin pimpin negara;Netral
laksana lancar visi misi ganjar mahfud;Positif
sehat rendah hati amanah;Positif
ganjar pimpin rakyat rendah hati bangun jarak rakyat;Negatif
ganjar pranowo ganjar hebat mahfud;Positif
wiyana bahrawi pangkat doang kamu atur hukum buang pangkat malumaluin;Negatif
ganjar sudah bukti kerja mustahil terima;Negatif
loid si yudara keren bang gaspol;Positif
terima pimpin ucap terima kasih sri sultan;Netral
alas nolak ganjar lihat track recordnya keren;Negatif
ganjar konsisten turun langsung jumpa masyarakat dengar aspirasi rakyat;Positif
alas nolak ganjar orang kompeten kerja keras;Negatif
moga jogja istimewa ganjar;Positif
pikir visi misi matang ganjar mahfud tekad bantu bawa berkah hidup;Positif
ganteng gagah ganjar pakai batik aura pimpin muncul yang beliau ucap bismillah dukung ganjar presiden ayo;Positif
